Angebot,Alter,Wochentag,Uhrzeit,Ort,Ansprechpartner,Anmerkungen
,,,,,,
Karate,Erwachsene,Montag,17:45-19:15,Berghofhalle,Georg Fylakos,
Karate,Erwachsene,Dienstag,20:00-22:00,Berghofhalle,Georg Fylakos,
Karate,Erwachsene,Freitag,20:00-22:00,Berghofhalle,Georg Fylakos,
Karate,Jugendliche,Dienstag,17:15-18:15,Berghofhalle,Georg Fylakos,
Karate,Jugendliche,Freitag,17:15-18:15,Berghofhalle,Georg Fylakos,
Karate,Kinder,Dienstag,16:00-17:00,Berghofhalle,Georg Fylakos,
Karate,Kinder,Freitag,16:00-18:00,Berghofhalle,Georg Fylakos,
,,,,,,
Tischtennis,Hobbygruppe,Montag,18:00-20:00,Turnhalle Oranienschule,Ahmed Turan Özkan und Robert Pohlchristoph,
Tischtennis,Jugend-Leistungsgruppe,Dienstag,18:00-18:45,Turnhalle Oranienschule,Furkan Dogan,
Tischtennis,Erwachsene,Dienstag,20:00-22:00,Turnhalle Oranienschule,Norbert Schwenk,
Tischtennis,Kinder/Jugend,Mittwoch ,18:00-19:45,Turnhalle Oranienschule,Furkan Dogan,
Tischtennis,Herren,Mittwoch ,20:00-22:00,Turnhalle Oranienschule,Norbert Schwenk,
Tischtennis,Herren ,Donnerstag ,18:00-22:00,Turnhalle Oranienschule,Norbert Schwenk,
Tischtennis,Kinder/Jugend,Freitag,18:00-19:30,Turnhalle Oranienschule,Furkan Dogan,
Tischtennis,Herren ,Freitag,19:45-22:00,Turnhalle Oranienschule,Norbert Schwenk,
Tischtennis,Hobbygruppe,Samstag,13:00-17:00,Turnhalle Oranienschule,Ahmed Turan Özkan und Robert Pohlchristoph,
